"Name","Region","state","summit_elev","vertical_drop","base_elev","trams","fastSixes","fastQuads","quad","triple","double","surface","total_chairs","Runs","TerrainParks","LongestRun_mi","SkiableTerrain_ac","Snow Making_ac","daysOpenLastYear","yearsOpen","averageSnowfall","AdultWeekend","projectedDaysOpen","NightSkiing_ac"
"Purgatory","Colorado","Colorado","10822","2029","8793","0","1","2","0","3","3","3","12","101","9","1.3","1605","250","130","54","260","89","130",""
"Howelsen Hill","Colorado","Colorado","7136","440","6696","0","0","0","0","0","1","3","4","17","1","6","50","25","100","104","150","25","100","10"
"Loveland","Colorado","Colorado","13010","2210","10800","0","0","1","3","3","2","1","10","94","1","2","1800","240","205","82","422","79","184",""
"Monarch Mountain","Colorado","Colorado","11952","1162","10790","0","0","0","1","0","4","2","7","64","2","1","800","","143","80","350","89","136",""
"Powderhorn","Colorado","Colorado","9850","1650","8200","0","0","1","0","0","2","2","5","42","2","1.5","1600","42","111","53","250","71","110",""
"Silverton Mountain","Colorado","Colorado","13487","3087","10400","0","0","0","0","0","1","0","1","","","1.5","1819","","175","17","400","79","181",""
"Cooper","Colorado","Colorado","11700","1200","10500","0","0","0","0","1","1","2","4","41","1","1","400","","130","74","260","56","130",""
"Ski Granby Ranch","Colorado","Colorado","9202","1000","8202","0","0","2","0","1","1","1","5","40","1","0.6","406","170","116","36","220","84","92","100"
"Sunlight Mountain Resort","Colorado","Colorado","9895","2010","7885","0","0","0","0","1","2","0","3","67","1","2.5","680","30","100","53","250","65","135",""
"Telluride","Colorado","Colorado","13150","4425","8725","2","0","6","1","2","2","4","17","148","3","4.6","2000","220","131","47","280","139","137",""
"Wolf Creek Ski Area","Colorado","Colorado","11904","1604","10300","0","0","3","1","2","1","3","10","120","","2","1600","5","130","80","430","72","150",""
"Mohawk Mountain","Connecticut","Connecticut","1600","650","950","0","0","0","0","5","0","3","8","25","","1.5","107","100","","72","92","65","110","64"
"Mount Southington Ski Area","Connecticut","Connecticut","525","425","100","0","0","0","0","2","2","3","7","14","2","0.3","51","51","63","55","80","60","95","51"
"Powder Ridge Park","Connecticut","Connecticut","720","550","170","0","0","0","0","1","2","2","5","19","4","0.5","80","68","80","60","80","55","100","40"
"Ski Sundown","Connecticut","Connecticut","1075","625","450","0","0","0","0","3","0","2","5","16","2","1","70","70","84","50","45","62","95","66"
"Woodbury Ski Area","Connecticut","Connecticut","730","300","430","0","0","0","0","0","1","4","5","12","2","0.2","50","50","126","57","70","42","180","35"
"Bogus Basin","Idaho","Idaho","7582","1800","5800","0","0","3","0","1","3","4","11","91","3","1.5","2600","","134","77","250","64","130","165"
"Brundage Mountain Resort","Idaho","Idaho","7640","1800","5840","0","0","1","0","4","0","1","6","51","2","3.2","1920","2","126","58","320","70","",""
"Kelly Canyon Ski Area","Idaho","Idaho","6600","1000","5600","0","0","0","0","0","4","2","6","51","1","1.3","740","","","62","200","42","",""
"Lookout Pass Ski Area","Idaho","Idaho","5650","1150","4500","0","0","0","0","1","3","0","4","35","2","1.5","540","","113","84","400","47","140",""
"Magic Mountain Ski Area","Idaho","Idaho","7200","700","6500","0","0","0","0","0","1","2","3","11","","1.5","280","","65","81","180","32","70",""
"Pebble Creek Ski Area","Idaho","Idaho","8560","2200","6360","0","0","0","0","3","0","0","3","54","2","1.3","1100","30","85","70","250","47","91","30"
"Schweitzer","Idaho","Idaho","6400","2400","4000","0","1","2","0","1","3","2","9","92","3","2.1","2900","47","136","56","300","81","","100"
"Silver Mountain","Idaho","Idaho","6300","2200","4100","1","0","0","1","2","2","1","7","80","2","2.5","1600","225","130","29","300","62","193","20"
"Soldier Mountain Ski Area","Idaho","Idaho","7200","1400","5800","0","0","0","0","0","2","1","3","36","","0.4","1142","","60","71","","43","",""
"Tamarack Resort","Idaho","Idaho","7700","2800","4900","0","0","2","2","0","0","2","6","48","3","1.5","1020","200","","15","300","71","150",""
"Chestnut Mountain Resort","Illinois","Illinois","1040","475","565","0","0","0","2","4","0","3","9","22","3","0.2","139","139","87","60","50","55","112","139"
"Ski Snowstar Winter Sports Park","Illinois","Illinois","790","262","528","0","0","0","2","0","2","2","6","15","1","0.8","28","28","56","38","38","35","86","28"
"Villa Olivia","Illinois","Illinois","500","180","320","0","0","0","1","0","0","6","7","7","1","0.1","15","15","","53","25","40","70","15"
"Paoli Peaks","Indiana","Indiana","900","300","600","0","0","1","1","3","1","2","8","15","2","0.4","65","65","75","41","18","45","80","65"
"Perfect North Slopes","Indiana","Indiana","800","400","400","0","0","0","2","3","0","6","11","23","2","1","100","100","82","39","24","52","90","100"
"Mt. Crescent Ski Area","Iowa","Iowa","1500","300","1200","0","0","0","1","0","1","0","2","11","1","0.2","50","50","","58","30","39","","50"
"Seven Oaks","Iowa","Iowa","975","275","800","0","0","0","0","2","0","2","4","11","2","1","35","35","100","22","40","40","100","35"
"Sundown Mountain","Iowa","Iowa","1059","475","584","0","0","0","1","1","2","2","6","21","2","0.6","55","55","","46","45","46","","55"
"Big Squaw Mountain Ski Resort","Maine","Maine","3200","660","1750","0","0","0","0","1","0","0","1","29","","0.8","","","67","6","","30","58",""
"Camden Snow Bowl","Maine","Maine","1080","850","150","0","0","0","0","1","1","1","3","26","2","1","100","48","68","83","69","43","70","48"
"Lost Valley","Maine","Maine","495","240","255","0","0","0","0","0","2","2","4","22","2","0.3","45","45","87","58","50","55","104","45"
"Mt. Abram Ski Resort","Maine","Maine","2250","1150","1050","0","0","0","0","0","2","3","5","54","1","0.5","640","175","120","59","125","49","120",""
"New Hermon Mountain","Maine","Maine","450","350","100","0","0","0","0","0","1","2","3","20","","1.9","70","70","102","55","90","32","117","45"
"Shawnee Peak","Maine","Maine","1900","1350","600","0","0","0","1","2","1","2","6","43","3","0.8","239","234","97","81","110","75","103","110"
"Sugarloaf","Maine","Maine","4237","2820","1417","0","0","2","3","1","5","2","13","162","4","3.5","1240","618","159","68","200","99","155",""
"Sunday River","Maine","Maine","3140","2340","800","1","0","4","5","3","1","1","15","135","5","3","870","552","165","60","167","105","169","140"
"Wisp","Maryland","Maryland","3115","700","2415","0","0","0","2","5","0","5","12","34","3","1.5","172","118","121","64","100","79","120","118"
"Berkshire East","Massachusetts","Massachusetts","1720","1180","540","0","0","0","2","1","1","2","6","47","2","2","180","165","120","68","120","68","120","80"
"Blandford Ski Area","Massachusetts","Massachusetts","1685","465","1035","0","0","0","0","0","3","2","5","29","2","0.5","132","70","","83","50","45","","70"
"Blue Hills Ski Area","Massachusetts","Massachusetts","635","309","326","0","0","0","0","0","1","3","4","16","1","","60","60","","19","","45","",""
"Bousquet Ski Area","Massachusetts","Massachusetts","1875","750","1125","0","0","0","0","0","3","2","5","23","1","1","200","98","","19","83","49","","100"
"Bradford Ski Area","Massachusetts","Massachusetts","1548","248","1300","0","0","0","0","2","0","8","10","15","1","0.3","48","48","","71","","55","",""
"Jiminy Peak","Massachusetts","Massachusetts","2380","1150","1230","0","1","0","2","3","1","2","9","45","3","2","167","163","121","71","90","81","120","104"
"Nashoba Valley","Massachusetts","Massachusetts","440","240","200","0","0","0","0","3","1","7","11","17","2","0.5","52","52","112","55","55","58","126","52"
"Otis Ridge Ski Area","Massachusetts","Massachusetts","1700","400","1300","0","0","0","0","0","1","3","4","11","1","1","60","55","106","73","70","40","106","35"
"Ski Butternut","Massachusetts","Massachusetts","1800","1000","800","0","0","0","3","1","1","6","11","22","2","1.5","110","110","107","56","115","60","110",""
"Wachusett Mountain Ski Area","Massachusetts","Massachusetts","2006","1000","1006","0","0","3","0","1","0","4","8","27","2","1.5","112","112","","57","100","71","120","104"
"Alpine Valley Ski Area","Michigan","Michigan","500","240","126","0","0","0","1","2","5","6","14","25","3","0.2","100","100","","57","20","47","","100"
"Apple Mountain","Michigan","Michigan","820","220","600","0","0","0","1","0","0","5","6","12","","","80","42","","58","52","35","","80"
"Big Powderhorn Mountain","Michigan","Michigan","1800","600","1200","0","0","0","0","0","9","1","10","45","2","1","253","228","100","55","214","69","108",""
"Bittersweet Ski Area","Michigan","Michigan","850","350","450","0","0","0","1","7","0","4","12","20","2","0.2","100","100","80","36","90","48","","100"
"Big Snow Resort - Blackjack","Michigan","Michigan","850","465","385","0","0","0","0","0","4","2","6","26","2","1","170","86","95","42","210","65","115",""
"Boyne Highlands","Michigan","Michigan","1290","552","745","0","0","1","3","4","0","2","10","55","4","1.2","435","400","97","56","140","98","120","150"
"Caberfae Peaks","Michigan","Michigan","1569","485","1060","0","0","0","1","2","1","1","5","34","2","1.2","200","200","118","82","140","49","130","150"
"Cannonsburg","Michigan","Michigan","1100","250","850","0","0","0","1","1","1","7","10","21","5","0.1","100","","100","54","100","37","100",""
"Crystal Mountain","Michigan","Michigan","1132","375","757","0","0","1","3","2","0","2","8","58","3","0.3","102","96","120","63","132","64","135","56"
"Big Snow Resort - Indianhead Mountain","Michigan","Michigan","1935","638","1297","0","0","0","1","1","5","2","9","32","2","1","240","150","120","60","204","49","120",""
"Mont Ripley","Michigan","Michigan","1140","440","700","0","0","0","0","0","2","2","4","25","2","0.8","112","112","114","83","275","49","100","100"
"Mount Bohemia","Michigan","Michigan","1500","900","600","0","0","0","0","1","1","0","2","","","2.3","585","","83","19","273","68","100",""
"Mt. Brighton","Michigan","Michigan","1330","230","1100","0","0","0","2","3","0","8","13","25","5","0.1","130","130","111","59","60","59","100","130"
"Mt. Holiday Ski Area","Michigan","Michigan","440","200","240","0","0","0","0","0","2","2","4","12","","0.1","45","45","100","70","120","34","90","45"
"Mount Holly","Michigan","Michigan","1105","350","755","0","0","1","2","3","1","6","13","19","","0.1","100","100","","63","42","45","102","100"
"Mulligan's Hollow Ski Bowl","Michigan","Michigan","700","130","570","0","0","0","0","0","0","5","5","6","","0.2","10","10","","19","60","20","","10"
"Norway Mountain","Michigan","Michigan","1335","500","835","0","0","0","0","1","2","3","6","17","1","1.4","186","186","110","45","100","45","110","40"
"Nubs Nob Ski Area","Michigan","Michigan","1338","427","911","0","0","0","3","4","2","1","10","53","3","0.9","248","248","133","61","135","85","130","160"
"Pine Mountain","Michigan","Michigan","1650","500","1150","0","0","0","0","1","2","1","4","28","1","0.5","160","160","110","80","60","45","126","80"
"Schuss Mountain at Shanty Creek","Michigan","Michigan","1125","450","675","0","0","0","5","0","0","3","8","42","3","1","70","70","94","57","160","78","111","70"
"Ski Brule","Michigan","Michigan","1860","500","1360","0","0","0","0","0","5","7","12","17","3","1","150","150","164","62","150","49","165","40"
"Snow Snake Mountain Ski Area","Michigan","Michigan","1230","210","1020","0","0","0","0","1","0","5","6","12","2","0","40","40","","72","","35","","40"
"Swiss Valley","Michigan","Michigan","1200","225","975","0","0","0","2","1","0","4","7","11","2","0.1","60","60","89","51","60","42","80","60"
"The Homestead","Michigan","Michigan","900","320","580","0","0","0","0","2","1","2","5","15","1","0.2","16","16","47","34","150","50","42","16"
"Timber Ridge","Michigan","Michigan","850","250","600","0","0","0","1","1","2","4","8","16","2","0.3","50","50","80","58","","45","","50"
"Afton Alps","Minnesota","Minnesota","1530","350","1180","0","0","0","1","3","14","4","22","48","5","0.5","250","250","135","56","60","60","135","250"
"Andes Tower Hills Ski Area","Minnesota","Minnesota","1620","290","1330","0","0","0","1","2","0","3","6","15","2","0.2","35","35","100","38","55","45","110","35"
"Buck Hill","Minnesota","Minnesota","1225","309","919","0","0","0","2","1","0","5","8","16","","0.2","45","45","115","65","60","47","112","45"
"Buena Vista Ski Area","Minnesota","Minnesota","1510","230","1280","0","0","0","0","2","2","2","6","17","","0.3","30","30","57","70","78","44","60","30"
"Coffee Mill Ski & Snowboard Resort","Minnesota","Minnesota","1150","425","725","0","0","0","0","0","2","1","3","14","1","1","40","35","57","39","48","37","56","35"
"Elm Creek Winter Recreation Area","Minnesota","Minnesota","928","60","868","0","0","0","0","0","0","3","3","3","","1","15","20","105","13","45","17","102","15"
"Giants Ridge Resort","Minnesota","Minnesota","1972","500","1472","0","0","1","1","1","2","2","7","35","2","0.8","202","202","120","35","85","58","125","121"
"Hyland Ski & Snowboard Area","Minnesota","Minnesota","1075","175","900","0","0","0","2","1","0","5","8","14","1","1","35","35","110","61","55","35.34","115","35"
"Lutsen Mountains","Minnesota","Minnesota","1688","825","800","1","1","0","0","1","4","1","8","62","2","2","393","231","135","71","120","84","127",""
"Mount Kato Ski Area","Minnesota","Minnesota","540","240","300","0","0","0","5","0","3","2","10","19","4","1","55","55","115","43","50","46","120","50"
"Powder Ridge Ski Area","Minnesota","Minnesota","790","300","500","0","0","0","1","0","2","3","6","15","4","","60","60","97","58","45","48","113","60"
"Spirit Mountain","Minnesota","Minnesota","1320","700","620","0","0","1","1","2","1","2","7","22","3","1","175","175","100","45","100","59","125","144"
"Welch Village","Minnesota","Minnesota","1060","360","700","0","0","0","3","1","4","2","10","50","1","0.8","125","125","114","54","45","60","122","100"
"Wild Mountain Ski & Snowboard Area","Minnesota","Minnesota","1113","300","813","0","0","0","4","0","0","4","8","26","4","0.9","100","100","130","47","50","55","140","100"
"Hidden Valley Ski Area","Missouri","Missouri","2566","310","2316","0","0","0","2","2","0","3","7","17","","0.1","30","30","","37","26","49","","17"
"Snow Creek","Missouri","Missouri","1100","300","800","0","0","0","0","2","1","2","5","14","2","0.3","30","30","69","33","20","47","85","30"
"Blacktail Mountain Ski Area","Montana","Montana","6676","1440","5236","0","0","0","0","1","2","1","4","27","","0.7","1000","","","21","250","42","",""
"Bridger Bowl","Montana","Montana","8700","2600","6100","0","0","0","1","6","1","3","11","105","2","1.5","2000","100","122","64","350","63","133",""
"Discovery Ski Area","Montana","Montana","8150","2380","5770","0","0","0","0","5","2","1","8","74","1","1.5","2400","25","116","46","225","49","116",""
"Great Divide","Montana","Montana","7330","1580","5750","0","0","0","0","0","5","1","6","110","6","3","1600","150","94","78","180","48","100","100"
"Lost Trail - Powder Mtn","Montana","Montana","8200","1800","6400","0","0","0","0","0","5","3","8","69","2","2.5","1800","","84","81","325","46","80",""
"Maverick Mountain","Montana","Montana","8520","2020","6500","0","0","0","0","0","1","1","2","22","","1.3","255","","","83","160","39","",""
"Montana Snowbowl","Montana","Montana","7600","2600","5000","0","0","0","0","0","2","2","4","37","","1.2","950","20","","58","300","50","","10"
"Red Lodge Mountain","Montana","Montana","9416","2400","7016","0","0","2","0","1","3","1","7","70","2","2.5","1635","496","142","59","250","67","136",""
"Showdown Montana","Montana","Montana","8200","1400","6800","0","0","0","0","1","2","1","4","36","1","1.8","640","","86","83","250","47","85",""
"Teton Pass Ski Resort","Montana","Montana","7200","1010","6190","0","0","0","0","0","1","2","3","43","1","3","330","","40","54","250","39","150",""
"Big Mountain Resort","Montana","Montana","6817","2353","4464","0","0","3","2","6","0","3","14","105","4","3.3","3000","600","123","72","333","81","123","600"
"Diamond Peak","Sierra Nevada","Nevada","8540","1840","6700","0","0","1","2","0","3","1","7","30","3","2.5","655","492","100","53","300","99","122",""
"Elko SnoBowl","Nevada","Nevada","7000","700","6300","0","0","0","0","0","1","1","2","10","","1","60","2","19","23","24","20","30",""
"Lee Canyon","Nevada","Nevada","11289","860","8510","0","0","0","2","1","0","0","3","24","1","0.3","195","50","144","56","161","70","150",""
"Mt. Rose - Ski Tahoe","Sierra Nevada","Nevada","9700","1800","8260","0","2","0","2","2","0","2","8","65","5","2.5","1200","330","152","55","350","135","150",""
"Attitash","New Hampshire","New Hampshire","2350","1750","600","0","0","2","1","3","2","1","9","68","3","3","311","240","115","54","120","89","130",""
"Black Mountain","New Hampshire","New Hampshire","2350","1100","1250","0","0","0","0","1","1","3","5","45","","1.6","143","120","110","84","125","59","107",""
"Bretton Woods","New Hampshire","New Hampshire","3100","1500","1600","0","0","4","1","1","0","3","9","63","2","2","464","427","180","46","200","99","180","45"
"Cannon Mountain","New Hampshire","New Hampshire","4080","2180","1900","1","0","1","2","3","1","3","11","97","3","2.3","285","192","124","81","160","79","143",""
"Crotched Mountain","New Hampshire","New Hampshire","2066","1016","1050","0","0","1","1","1","1","1","5","25","3","1.2","100","100","105","16","105","69","100","100"
"Dartmouth Skiway","New Hampshire","New Hampshire","1943","969","974","0","0","0","1","0","1","2","4","28","1","1.1","107","54","104","63","100","50","105",""
"Gunstock","New Hampshire","New Hampshire","2300","1400","900","0","0","1","2","2","0","1","6","55","4","1.5","227","176","106","82","120","92","","60"
"King Pine","New Hampshire","New Hampshire","850","350","500","0","0","0","0","3","0","3","6","17","2","0.3","48","45","105","57","120","58","107","23"
"Mount Sunapee","New Hampshire","New Hampshire","2743","1510","1233","0","0","2","1","2","1","4","10","66","4","0.8","232","215","130","71","100","93","136",""
"Pats Peak","New Hampshire","New Hampshire","1460","770","690","0","0","0","0","4","2","5","11","28","3","1.5","115","115","109","56","100","72","112","93"
"Ragged Mountain Resort","New Hampshire","New Hampshire","2250","1250","1000","0","1","1","0","1","0","3","6","57","3","0.7","250","200","","54","100","84","140",""
"Waterville Valley","New Hampshire","New Hampshire","4004","2020","1984","0","0","2","0","2","3","4","11","62","4","1.9","265","220","142","54","148","93","142",""
"Whaleback Mountain","New Hampshire","New Hampshire","1800","700","1100","0","0","0","0","0","1","3","4","30","1","1","85","60","105","64","110","45","105","55"
"Wildcat Mountain","New Hampshire","New Hampshire","4062","2112","1950","0","0","1","0","3","0","1","5","48","","2.8","225","200","156","61","200","89","150",""
"Mountain Creek Resort","New Jersey","New Jersey","1480","1040","440","1","0","2","2","1","1","3","10","46","3","2","167","167","90","54","65","79.99","100","167"
"Angel Fire Resort","New Mexico","New Mexico","10677","2077","8600","0","0","2","0","0","3","2","7","81","3","3","560","230","101","53","210","77","101","50"
"Enchanted Forest Ski Area","New Mexico","New Mexico","10078","400","9820","0","0","0","0","0","0","0","0","33","","2.5","600","","130","34","240","20","140",""
"Pajarito Mountain Ski Area","New Mexico","New Mexico","10441","1410","9031","0","0","0","1","1","3","1","6","45","2","0.6","750","35","89","62","163","49","117",""
"Red River","New Mexico","New Mexico","10350","1600","8750","0","0","0","1","3","1","2","7","63","3","2.5","209","","110","60","214","79","",""
"Sandia Peak","New Mexico","New Mexico","10378","1700","8678","0","0","0","0","0","4","1","5","39","1","2","200","30","32","82","100","55","38",""
"Sipapu Ski Resort","New Mexico","New Mexico","9255","1055","8200","0","0","0","1","2","0","3","6","42","4","0.5","200","140","127","67","190","47","143",""
"Ski Apache","New Mexico","New Mexico","11500","1900","9600","1","0","0","2","6","0","2","11","55","3","2","750","270","133","58","185","74","124",""
"Ski Santa Fe","New Mexico","New Mexico","12075","1725","10350","0","0","0","1","2","2","2","7","83","1","3","660","275","107","73","225","80","130",""
"Taos Ski Valley","New Mexico","New Mexico","12481","3281","9200","1","0","1","3","4","1","4","14","111","1","5","1294","647","137","64","300","110","136",""
"Belleayre","New York","New York","3429","1404","2025","1","0","1","1","1","2","2","8","50","2","2.2","175","168","154","70","130","72","150",""
"Brantling Ski Slopes","New York","New York","850","250","600","0","0","0","0","0","0","5","5","10","","0.1","20","16","","19","110","32","",""
"Bristol Mountain","New York","New York","2200","1200","1000","0","0","2","1","1","1","1","6","34","3","2","160","148","129","55","60","76","129","154"
"Buffalo Ski Club Ski Area","New York","New York","3429","500","2025","0","0","0","0","0","2","4","6","43","1","","225","150","","12","","50","","100"
"Catamount","New York","New York","2000","1000","1000","0","0","0","1","1","2","3","7","36","5","2","133","130","100","80","108","69","90","55"
"Dry Hill Ski Area","New York","New York","950","300","650","0","0","0","0","0","1","2","3","7","1","0.2","35","26","","55","125","35","","26"
"Gore Mountain","New York","New York","3600","2537","998","1","0","2","2","3","2","4","14","110","7","4.5","439","338","142","55","150","88","","15"
"Greek Peak","New York","New York","2100","952","1148","0","0","0","1","1","4","2","8","56","4","1.5","220","184","110","62","122","63.2","113","175"
"Holiday Mountain","New York","New York","1550","400","1150","0","0","0","1","0","1","2","4","9","","0.4","37","37","75","60","50","42","85","37"
"Holiday Valley","New York","New York","2250","750","1500","0","0","3","8","0","0","2","13","60","5","1","290","266","116","62","180","78","129","189"
"Holimont Ski Area","New York","New York","2260","700","1560","0","0","1","1","2","3","1","8","53","3","1.5","135","135","110","57","180","75","119",""
"Hunt Hollow Ski Club","New York","New York","2030","825","1000","0","0","0","0","1","1","1","3","19","1","1","400","400","","52","130","58","75","400"
"Hunter Mountain","New York","New York","3200","1600","1600","0","2","1","2","2","2","4","13","67","4","2","320","320","148","59","120","89","155",""
"Kissing Bridge","New York","New York","1700","550","1150","0","0","0","2","1","4","3","10","39","5","0.5","700","550","103","59","120","60","100","650"
"Labrador Mt.","New York","New York","1825","700","1125","0","0","0","0","1","2","1","4","23","1","1","250","237","","62","125","59","100","180"
"Maple Ski Ridge","New York","New York","1200","450","750","0","0","0","0","1","1","1","3","10","","0.3","25","25","","57","","38","","20"
"McCauley Mountain Ski Center","New York","New York","2250","633","1563","0","0","0","0","0","1","4","5","23","1","0.3","70","55","105","61","200","30","105",""
"Mount Peter Ski Area","New York","New York","1250","450","750","0","0","0","1","0","2","2","5","14","1","1","69","69","100","83","50","54","100","69"
"Oak Mountain","New York","New York","2400","650","1750","0","0","0","1","0","0","3","4","22","1","1.2","46","18","","71","120","40","","12"
"Peek'n Peak","New York","New York","1800","400","1400","0","0","0","0","8","0","2","10","27","4","2.4","110","110","110","55","225","63","","110"
"Plattekill Mountain","New York","New York","3500","1100","2400","0","0","0","0","1","1","2","4","38","1","2","110","75","65","26","175","67","65",""
"Royal Mountain Ski Area","New York","New York","1800","550","1250","0","0","0","0","0","3","0","3","14","","0.3","35","28","","63","90","45","",""
"Snow Ridge","New York","New York","2000","650","1350","0","0","0","0","0","4","2","6","21","2","0.8","130","65","73","74","230","48","100","40"
"Song Mountain","New York","New York","1940","700","1240","0","0","0","0","1","1","3","5","24","","0.4","93","70","90","55","125","59","122","70"
"Swain","New York","New York","1970","650","1320","0","0","0","3","0","1","1","5","35","3","1","130","90","102","72","120","59","100","80"
"Thunder Ridge","New York","New York","1270","500","770","0","0","0","0","1","2","3","6","30","","0.4","100","100","121","60","","57","121","100"
"Titus Mountain","New York","New York","2025","1200","825","0","0","0","0","2","6","2","10","50","3","2","200","150","101","59","150","49","100","70"
"Toggenburg Mountain","New York","New York","2000","700","1300","0","0","0","0","1","1","3","5","22","2","0.4","85","","","66","130","55","122","73"
"West Mountain","New York","New York","1470","1010","460","0","0","0","0","1","2","2","5","29","1","0.6","124","105","","58","80","59","120","105"
"Whiteface Mountain Resort","New York","New York","4650","3430","1220","1","0","1","1","2","5","2","12","86","5","2.1","288","220","122","61","168","96","141",""
"Willard Mountain","New York","New York","1415","505","910","0","0","0","0","0","2","3","5","16","","0.4","50","35","85","19","80","46","120","35"
"Windham Mountain","New York","New York","3100","1600","1500","0","1","2","0","3","1","5","12","54","6","2","285","280","123","59","105","95","130","56"
"Woods Valley Ski Area","New York","New York","1400","500","900","0","0","0","0","0","2","4","6","21","","0.3","25","16","","55","180","39","","15"
"Appalachian Ski Mountain","North Carolina","North Carolina","4000","365","3635","0","0","0","2","0","1","2","5","12","3","0.5","27","27","100","57","50","64","100","27"
"Cataloochee Ski Area","North Carolina","North Carolina","5400","740","4660","0","0","0","1","1","1","2","5","18","2","1","50","50","141","58","50","70","108","50"
"Sapphire Valley","North Carolina","North Carolina","3450","200","3200","0","0","0","1","0","0","2","3","","1","1","8","8","53","55","24","43","60","8"
"Beech Mountain Resort","North Carolina","North Carolina","5506","830","4675","0","0","0","3","0","3","2","8","17","1","1","95","95","98","52","31","68","","95"
"Sugar Mountain Resort","North Carolina","North Carolina","5300","1200","4100","0","1","0","0","1","4","2","8","21","1","1.5","125","125","114","50","77","75","120","95"
"Wolf Ridge Ski Resort","North Carolina","North Carolina","4700","720","4000","0","0","0","1","0","1","2","4","15","1","0.6","65","65","","49","65","65","100","60"
"Alpine Valley","Ohio","Ohio","1500","230","1260","0","0","0","1","2","1","1","5","11","1","0.2","72","72","105","53","120","43","","72"
"Boston Mills","Ohio","Ohio","871","264","631","0","0","0","0","4","2","2","8","7","2","0.3","40","40","92","56","51","44","110","40"
"Brandywine","Ohio","Ohio","871","240","631","0","0","0","2","7","2","5","16","11","2","0.3","85","85","92","56","51","44","110","85"
"Mad River Mountain","Ohio","Ohio","1460","300","1160","0","0","0","1","2","3","6","12","20","4","0.5","144","144","99","57","36","44","90","144"
"Snow Trails","Ohio","Ohio","1475","301","1174","0","0","0","0","4","2","3","9","17","3","0.2","80","80","101","58","50","52","70","80"
"Anthony Lakes Mountain Resort","Oregon","Oregon","8000","900","7100","0","0","0","0","1","0","2","3","21","2","1.5","1100","","75","56","300","40","80",""
"Cooper Spur","Mt. Hood","Oregon","4000","350","3500","0","0","0","0","0","1","1","2","10","","0.1","50","","78","66","100","39","90",""
